Alarm Level :,1000
Storage cycle [sec] :,0.1
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/11/10 12:35:46.6,191,1013,1,
2,2018/11/10 12:35:46.7,190,1012,1,
3,2018/11/10 12:35:46.8,189,1014,1,
4,2018/11/10 12:35:46.9,190,1009,1,
5,2018/11/10 12:35:47.0,190,1006,1,No data
6,2018/11/10 12:35:47.1,191,1002,1,
7,2018/11/10 12:35:47.2,190,1002,1,
8,2018/11/10 12:35:47.3,190,1005,1,
9,2018/11/10 12:35:47.4,190,1005,1,
10,2018/11/10 12:35:47.5,190,1004,1,No data
11,2018/11/10 12:35:47.6,190,1012,1,
12,2018/11/10 12:35:47.7,189,1021,1,
13,2018/11/10 12:35:47.8,188,1026,1,
14,2018/11/10 12:35:47.9,188,1021,1,
15,2018/11/10 12:35:48.0,189,1014,1,No data
16,2018/11/10 12:35:48.1,189,1013,1,
17,2018/11/10 12:35:48.2,189,1015,1,
18,2018/11/10 12:35:48.3,189,1022,1,
19,2018/11/10 12:35:48.4,189,1021,1,
20,2018/11/10 12:35:48.5,191,1013,1,No data
21,2018/11/10 12:35:48.6,191,1009,1,
22,2018/11/10 12:35:48.7,190,1010,1,
23,2018/11/10 12:35:48.8,189,1015,1,
24,2018/11/10 12:35:48.9,189,1014,1,
25,2018/11/10 12:35:49.0,190,1011,1,No data
26,2018/11/10 12:35:49.1,190,1013,1,
27,2018/11/10 12:35:49.2,190,1015,1,
28,2018/11/10 12:35:49.3,190,1012,1,
29,2018/11/10 12:35:49.4,191,1003,1,
30,2018/11/10 12:35:49.5,193,992,1,No data
31,2018/11/10 12:35:49.6,192,993,1,
32,2018/11/10 12:35:49.7,191,996,1,
33,2018/11/10 12:35:49.8,191,1001,1,
34,2018/11/10 12:35:49.9,191,997,1,
35,2018/11/10 12:35:50.0,192,989,1,No data
36,2018/11/10 12:35:50.2,192,985,1,
37,2018/11/10 12:35:50.3,192,988,1,
38,2018/11/10 12:35:50.4,191,993,1,
39,2018/11/10 12:35:50.5,192,992,1,
40,2018/11/10 12:35:50.6,193,984,1,No data
41,2018/11/10 12:35:50.6,193,977,1,
42,2018/11/10 12:35:50.7,193,972,1,
43,2018/11/10 12:35:50.8,193,970,1,
44,2018/11/10 12:35:50.9,193,970,1,
45,2018/11/10 12:35:51.0,193,972,1,No data
46,2018/11/10 12:35:51.1,192,982,1,
47,2018/11/10 12:35:51.2,191,995,1,
48,2018/11/10 12:35:51.3,190,995,1,
49,2018/11/10 12:35:51.4,191,988,1,
50,2018/11/10 12:35:51.5,193,976,1,No data
51,2018/11/10 12:35:51.6,192,979,1,
52,2018/11/10 12:35:51.7,192,983,1,
53,2018/11/10 12:35:51.8,192,983,1,
54,2018/11/10 12:35:51.9,192,980,1,
55,2018/11/10 12:35:52.0,193,975,1,No data
56,2018/11/10 12:35:52.1,193,983,1,
57,2018/11/10 12:35:52.2,192,989,1,
58,2018/11/10 12:35:52.3,191,994,1,
59,2018/11/10 12:35:52.4,192,990,1,
60,2018/11/10 12:35:52.5,192,983,1,No data
61,2018/11/10 12:35:52.6,192,982,1,
62,2018/11/10 12:35:52.7,191,988,1,
63,2018/11/10 12:35:52.8,191,996,1,
64,2018/11/10 12:35:52.9,191,999,1,
65,2018/11/10 12:35:53.0,192,990,1,No data
66,2018/11/10 12:35:53.1,191,989,1,
67,2018/11/10 12:35:53.2,191,990,1,
68,2018/11/10 12:35:53.3,189,1001,1,
69,2018/11/10 12:35:53.4,190,995,1,
70,2018/11/10 12:35:53.5,190,994,1,No data
71,2018/11/10 12:35:53.6,191,991,1,
72,2018/11/10 12:35:53.7,190,998,1,
73,2018/11/10 12:35:53.8,190,996,1,
74,2018/11/10 12:35:53.9,191,991,1,
75,2018/11/10 12:35:54.0,191,987,1,No data
76,2018/11/10 12:35:54.1,191,988,1,
77,2018/11/10 12:35:54.2,191,991,1,
78,2018/11/10 12:35:54.3,191,996,1,
79,2018/11/10 12:35:54.4,191,998,1,
80,2018/11/10 12:35:54.5,192,999,1,No data
81,2018/11/10 12:35:54.7,191,1007,1,
82,2018/11/10 12:35:54.8,190,1017,1,
83,2018/11/10 12:35:54.9,189,1018,1,
84,2018/11/10 12:35:55.0,190,1004,1,
85,2018/11/10 12:35:55.1,191,991,1,No data
86,2018/11/10 12:35:55.2,190,988,1,
87,2018/11/10 12:35:55.3,189,995,1,
88,2018/11/10 12:35:55.4,189,999,1,
89,2018/11/10 12:35:55.5,190,1000,1,
90,2018/11/10 12:35:55.6,192,994,1,No data
91,2018/11/10 12:35:55.7,191,997,1,
92,2018/11/10 12:35:55.8,191,999,1,
93,2018/11/10 12:35:55.9,190,1003,1,
94,2018/11/10 12:35:56.0,190,1002,1,
95,2018/11/10 12:35:56.1,190,1004,1,No data
96,2018/11/10 12:35:56.3,192,995,1,
97,2018/11/10 12:35:56.4,191,1001,1,
98,2018/11/10 12:35:56.5,190,1001,1,
